# ECP5UM csfBGA285 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Nov. 2, 2015",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM-25,,,,,,,,LFE5UM-45,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
A2,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,,A2,PR29C,2,GR_PCLK2_0,True_OF_PR29D,-,RDQ29,,A2,PR41C,2,GR_PCLK2_0,True_OF_PR41D,-,RDQ41
A3,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,,A3,PR29A,2,GR_PCLK2_1,True_OF_PR29B,TRUE,RDQS29,,A3,PR41A,2,GR_PCLK2_1,True_OF_PR41B,TRUE,RDQS41
A4,PR11B,2,-,Comp_OF_PR11A,TRUE,RDQ8,,A4,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17,,A4,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17
A6,PR11A,2,-,True_OF_PR11B,TRUE,RDQ8,,A6,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17,,A6,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17
A7,PR8B,2,-,Comp_OF_PR8A,TRUE,RDQSN8,,A7,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17,,A7,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQSN17
A8,PT35B,1,PCLKC1_0,Comp_OF_PT35A,-,-,,A8,PT44B,1,PCLKC1_0,Comp_OF_PT44A,-,-,,A8,PT71B,1,PCLKC1_0,Comp_OF_PT71A,-,-
A9,PT35A,1,PCLKT1_0,True_OF_PT35B,-,-,,A9,PT44A,1,PCLKT1_0,True_OF_PT44B,-,-,,A9,PT71A,1,PCLKT1_0,True_OF_PT71B,-,-
A10,PT27B,0,PCLKC0_1,Comp_OF_PT27A,-,-,,A10,PT36B,0,PCLKC0_1,Comp_OF_PT36A,-,-,,A10,PT63B,0,PCLKC0_1,Comp_OF_PT63A,-,-
A11,PT27A,0,PCLKT0_1,True_OF_PT27B,-,-,,A11,PT36A,0,PCLKT0_1,True_OF_PT36B,-,-,,A11,PT63A,0,PCLKT0_1,True_OF_PT63B,-,-
A12,PL5A,7,-,True_OF_PL5B,TRUE,LDQ8,,A12,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17,,A12,PL14A,7,-,True_OF_PL14B,TRUE,LDQ17
A13,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ20,,A13,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29,,A13,PL35B,7,-,Comp_OF_PL35A,TRUE,LDQ41
A15,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,,A15,PL23D,7,-,Comp_OF_PL23C,-,LDQ29,,A15,PL35D,7,-,Comp_OF_PL35C,-,LDQ41
A16,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQSN20,,A16,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29,,A16,PL41B,7,-,Comp_OF_PL41A,TRUE,LDQSN41
